custom_id,juridisk genomförbarhet,ekonomisk genomförbarhet,faktamässigt underlag,goda exempel,vägen framåt,snitt betyg,splittad
sou 2000:23 d3,60,70,65,50,80,65,0
sou 2000:52 d5,0,0,0,0,0,0,0
sou 2000:90 d1,20,40,30,50,35,35,0
sou 2000:90 d2,85,65,70,60,50,66,0
sou 2001:77 d1,85,80,82,75,80,80,0
sou 2002:7,68,55,60,50,70,61,0
sou 2003:113,85,50,60,45,70,62,1
sou 2003:115,0,0,0,0,0,0,0
sou 2003:38 d1,85,80,70,30,65,66,0
sou 2003:38 d3,75,80,80,50,70,71,0
sou 2003:80 d1,45,63,80,70,55,63,0
sou 2003:80 d2,0,0,0,0,0,0,0
sou 2004:129 d1,85,60,80,55,75,71,0
sou 2004:129 d2,10,25,30,15,10,18,0
sou 2004:129 d3,75,50,45,20,45,47,0
sou 2004:129 d4,45,40,62,25,60,46,0
sou 2004:129 d5,5,10,5,5,5,6,0
sou 2005:33 d1,75,60,80,30,70,63,0
sou 2007:99,80,70,60,60,75,69,0
sou 2008:13 d2,90,85,90,85,75,85,0
sou 2008:25 d1,0,0,0,0,0,0,0
sou 2008:86,85,50,70,75,55,67,0
sou 2009:2,85,60,70,50,80,69,0
sou 2009:42,80,55,55,45,60,59,0
sou 2009:48,15,10,15,5,10,11,0
sou 2009:88,15,10,10,5,5,9,1
sou 2010:30,85,60,75,50,70,68,0
sou 2015:87,82,75,80,60,75,74,0
sou 2017:83,85,80,85,55,60,73,1
sou 2018:15,50,65,75,60,55,61,0
sou 2018:76,75,70,75,80,85,77,1
sou 2019:30,88,80,90,60,85,81,0
sou 2019:63,55,85,80,80,75,75,1
sou 2021:48 d2,55,50,55,60,70,58,1
sou 2021:53,0,0,0,0,0,0,0
sou 2023:18 d2,70,80,85,70,60,73,0
sou 2023:18,10,20,15,10,20,15,0
sou 2023:64,85,45,55,35,40,52,0
sou 2024:89,50,40,60,30,55,47,0
sou 2025:7,0,0,0,0,0,0,1
